p,contrib,C,maxterm
12821,42,73,12
12823,63,117,24
12829,53,95,16
12841,32,57,6
12853,48,73,8
12889,35,61,8
12893,50,91,16
12899,96,157,36
12907,40,73,12
12911,68,119,20
12917,46,81,16
12919,91,153,32
12923,57,105,18
12941,51,85,12
12953,57,97,16
12959,119,203,60
12967,58,95,12
12973,54,89,12
12979,70,117,24
12983,61,111,16
13001,42,73,16
13003,48,81,18
13007,61,99,20
13009,47,75,8
13033,62,107,16
13037,65,111,16
13043,48,79,12
13049,86,151,36
13063,58,103,16
13093,46,79,16
13099,63,111,18
13103,121,205,60
13109,78,137,32
13121,55,97,18
13127,58,99,16
13147,56,95,12
13151,63,111,24
13159,72,127,32
13163,45,79,12
13171,50,87,12
13177,48,83,8
