N,"T(N,5)"
1453,270
1454,780
1455,4880
1456,17910
1457,1630
1458,5190
1459,300
1460,6070
1461,1110
1462,3570
1463,7870
1464,8310
1465,1280
1466,660
1467,2440
1468,1660
1469,1850
1470,20680
1471,320
1472,7260
1473,1060
1474,3530
1475,3490
1476,11220
1477,1340
1478,750
1479,5700
1480,11400
1481,380
1482,11260
1483,380
1484,7050
1485,18610
1486,580
1487,400
1488,12670
1489,240
1490,2790
1491,4790
1492,1490
1493,390
1494,5540
1495,7200
1496,12800
1497,1090
1498,3490
1499,440
1500,16800
1501,1590
1502,620
1503,2730
1504,5770
1505,6840
1506,2230
1507,1540
1508,7260
1509,1210
1510,3320
1511,580
1512,31810
1513,1470
1514,590
1515,4830
1516,1500
1517,1640
1518,11110
1519,3650
1520,16970
1521,5580
1522,550
1523,290
1524,4600
1525,3210
1526,3150
1527,1130
1528,2580
1529,1950
1530,22190
1531,240
1532,1520
1533,5410
1534,3650
1535,1740
1536,9540
1537,1630
1538,880
1539,7350
1540,27800
1541,1440
1542,2060
1543,270
1544,2620
1545,4660
1546,790
1547,8140
1548,11200
1549,320
1550,7250
1551,5360
1552,4090
1553,330
1554,10420
1555,1460
1556,1620
1557,2840
1558,3760
1559,570
1560,34440
1561,1410
1562,3260
1563,1030
1564,7120
1565,1360
1566,9440
1567,390
1568,12490
1569,940
1570,2790
1571,300
1572,4870
1573,3850
1574,790
1575,23990
1576,2410
1577,1590
1578,2320
1579,370
1580,6530
1581,5590
1582,3470
1583,540
1584,29230
1585,1350
1586,3160
1587,2550
1588,1440
1589,1710
1590,9860
1591,1560
1592,2750
1593,4500
1594,910
1595,7540
1596,22180
1597,300
1598,3580
1599,5660
1600,15150
1601,250
1602,4910
1603,1430
1604,1470
1605,4720
1606,3280
1607,350
1608,8600
1609,380
1610,14160
1611,2490
1612,7270
1613,300
1614,2460
1615,7670
1616,4420
1617,11640
1618,830
1619,520
1620,25580
1621,190
1622,630
1623,1220
1624,12260
1625,5630
1626,2220
1627,340
1628,7210
1629,2820
1630,3090
1631,1950
1632,18530
1633,1710
1634,3400
1635,4830
1636,1490
1637,480
1638,24110
1639,1780
1640,10820
1641,940
1642,640
1643,1710
1644,5050
1645,6760
1646,760
1647,4950
1648,4430
1649,1850
1650,22800
1651,1560
1652,6870
1653,5320
1654,690
1655,1680
1656,19310
1657,270
1658,670
1659,5200
1660,6280
1661,1540
1662,2270
1663,440
1664,10290
1665,10900
1666,7700
1667,310
1668,4810
1669,290
1670,3160
1671,1330
1672,13360
1673,1910
1674,10090
1675,3650
1676,1640
1677,5970
1678,970
1679,2250
1680,49880
1681,690
1682,1540
1683,11730
1684,1290
1685,1310
1686,2040
1687,1280
1688,2450
1689,1110
1690,7160
1691,1870
1692,11250
1693,320
1694,7790
1695,4700
1696,5520
1697,300
1698,2440
1699,460
1700,15640
1701,9360
1702,3440
1703,1900
1704,8730
1705,7170
1706,690
1707,1230
1708,7090
1709,460
1710,22830
1711,1690
1712,3900
1713,1160
1714,860
1715,6150
1716,22950
1717,1310
1718,660
1719,2790
1720,11000
1721,340
1722,10440
1723,260
1724,1580
1725,11330
1726,810
1727,2010
1728,21000
1729,7020
1730,2670
1731,990
1732,1500
1733,350
1734,5620
1735,1600
1736,12400
1737,2590
1738,3660
1739,1910
1740,20470
1741,280
1742,3540
1743,5080
1744,3920
1745,1410
1746,5470
1747,370
1748,7720
1749,5850
1750,12070
1751,1840
1752,8520
1753,280
1754,780
1755,19950
1756,1460
1757,1560
1758,2450
1759,500
1760,24150
1761,1140
1762,890
1763,1970
1764,24990
1765,1250
1766,770
1767,5800
1768,13310
1769,1670
1770,9740
1771,7600
1772,1280
1773,2570
1774,750
1775,3750
1776,13000
1777,260
1778,3200
1779,1150
1780,6750
1781,1800
1782,14250
1783,330
1784,2910
1785,21710
1786,3230
1787,300
1788,4850
1789,310
1790,3170
1791,3030
1792,11670
1793,1560
1794,11370
1795,1530
1796,1690
1797,1310
1798,4000
1799,2040
1800,39920
1801,250
1802,3460
1803,1140
1804,7510
1805,3590
1806,10640
1807,1670
1808,3940
1809,4460
1810,3020
1811,320
1812,5010
1813,3710
1814,740
1815,11430
1816,2840
1817,1830
1818,5940
1819,1960
1820,29190
1821,1140
1822,740
1823,500
1824,19300
1825,3210
1826,3560
1827,12210
1828,1480
1829,1810
1830,9760
1831,320
1832,2900
1833,5590
1834,3570
1835,1730
1836,20470
1837,1730
1838,670
1839,1230
1840,17930
1841,1720
1842,2420
1843,1640
1844,1780
1845,11600
1846,3820
1847,560
1848,38810
1849,700
1850,6890
1851,950
1852,1460
1853,1770
1854,5680
1855,7010
1856,7730
1857,1090
1858,840
1859,4610
1860,20650
1861,330
1862,7980
1863,7100
1864,2400
1865,1310
1866,2180
1867,300
1868,1770
1869,5640
1870,15360
1871,540
1872,30230
1873,200
1874,740
1875,6400
1876,6840
1877,260
1878,2280
1879,420
1880,11930
1881,12540
1882,650
1883,1880
1884,5240
1885,7240
1886,3670
1887,5910
1888,6330
1889,580
1890,37600
1891,1380
1892,7000
1893,900
1894,630
1895,1490
1896,8560
1897,1520
1898,3520
1899,2610
1900,15090
1901,280
1902,2510
1903,1830
1904,18700
1905,4760
1906,660
1907,390
1908,11430
1909,1770
1910,3120
1911,12380
1912,2620
1913,390
1914,11670
1915,1590
1916,1640
1917,4870
1918,3730
1919,2180
1920,27570
1921,1470
1922,1650
1923,1160
1924,7770
1925,16060
1926,5330
1927,1630
1928,2720
1929,1200
1930,3310
1931,440
1932,22630
1933,290
1934,830
1935,11720
1936,9490
1937,1800
1938,11630
1939,1360
1940,6470
1941,1080
1942,830
1943,1980
1944,16070
1945,1420
1946,3320
1947,5530
1948,1570
1949,500
1950,23590
1951,340
1952,6250
1953,12670
1954,700
1955,7670
1956,4990
1957,1680
1958,3810
1959,1340
1960,24820
1961,1650
1962,5500
1963,1520
1964,1540
1965,4830
1966,780
1967,1780
1968,13940
1969,1880
1970,3310
1971,4980
1972,8180
1973,400
1974,11300
1975,3860
1976,13990
1977,1240
1978,3820
1979,630
1980,46790
1981,1350
1982,590
1983,1100
1984,7670
1985,1230
1986,2170
1987,390
1988,7630
1989,13040
1990,3040
1991,1710
1992,8810
1993,310
1994,830
1995,22560
1996,1450
1997,400
1998,10360
1999,500
2000,15635
2001,5790
2002,16000
2003,270
2004,4780
2005,1340
2006,3600
2007,2820
2008,2900
2009,4140
2010,10090
2011,280
2012,1760
2013,6060
2014,4070
2015,8380
2016,40160
2017,190
2018,570
2019,1030
2020,6790
2021,1820
2022,2630
2023,4290
2024,13600
2025,14570
2026,670
2027,370
2028,11480
2029,380
2030,14270
2031,1100
2032,4050
2033,1810
2034,5590
2035,7520
2036,1640
2037,5240
2038,880
2039,550
2040,36340
2041,1360
2042,680
2043,2720
2044,7050
2045,1520
2046,11170
2047,1930
2048,4255
2049,1180
2050,7710
2051,1800
2052,20510
2053,350
2054,3570
2055,4880
2056,2750
2057,3940
2058,9370
2059,1810
2060,6630
2061,2670
2062,750
2063,450
2064,14310
2065,7250
2066,870
2067,6140
2068,8130
2069,510
2070,23770
2071,1720
2072,12970
2073,1030
2074,3560
2075,3840
2076,5040
2077,1730
2078,940
2079,22790
2080,24770
2081,200
2082,2180
2083,250
2084,1610
2085,5140
2086,3690
2087,490
2088,20550
2089,370
2090,14970
2091,5410
2092,1560
2093,8150
2094,2500
2095,1520
2096,4410
2097,2720
2098,970
2099,630
2100,45850
2101,1510
2102,620
2103,1180
2104,2900
2105,1510
2106,15600
2107,3690
2108,8030
2109,5920
2110,3240
2111,520
2112,24970
2113,270
2114,3410
2115,11140
2116,3300
2117,1580
2118,2240
2119,1750
2120,11750
2121,5220
2122,740
2123,1740
2124,11880
2125,6070
2126,770
2127,1330
2128,19340
2129,360
2130,10150
2131,400
2132,7910
2133,5100
2134,3740
2135,7510
2136,8600
2137,290
2138,790
2139,6120
2140,7100
2141,510
2142,25680
2143,400
2144,6470
2145,23760
2146,3510
2147,1540
2148,4860
2149,1450
2150,7410
2151,2570
2152,2870
2153,310
2154,2600
2155,1900
2156,17250
2157,1350
2158,4050
2159,2260
2160,47240
2161,260
2162,3430
2163,5210
2164,1370
2165,1410
2166,5550
2167,1640
2168,2890
2169,2690
2170,14650
2171,1940
2172,5220
2173,1750
2174,830
2175,12240
2176,10410
2177,1780
2178,12870
2179,300
2180,6660
2181,1310
2182,910
2183,2270
2184,40130
2185,7490
2186,580
2187,3335
2188,1510
2189,1930
2190,10270
2191,1520
2192,4140
2193,5520
2194,750
2195,1710
2196,12090
2197,1365
2198,3480
2199,1420
2200,27320
2201,1730
2202,2580
2203,420
2204,8670
2205,25670
2206,760
2207,510
2208,19870
2209,910
2210,15530
2211,5400
2212,7000
2213,340
2214,10020
2215,1420
2216,2530
2217,1150
2218,820
2219,1930
2220,21420
2221,310
2222,3800
2223,13800
2224,4300
2225,3420
2226,10930
2227,1690
2228,1550
2229,1140
2230,3410
2231,2130
2232,21060
2233,8460
2234,720
2235,5110
2236,7810
2237,330
2238,2690
2239,540
2240,32020
2241,4950
2242,3880
2243,440
2244,24520
2245,1240
2246,690
2247,5440
2248,2850
2249,1800
2250,19800
2251,250
2252,1570
2253,1320
2254,8860
2255,7910
2256,13720
2257,1400
2258,720
2259,2840
2260,7180
2261,9110
2262,12210
2263,1550
2264,3000
2265,5100
2266,3890
2267,530
2268,29850
2269,290
2270,3200
2271,1170
2272,5930
2273,350
2274,2790
2275,17090
2276,1780
2277,14250
2278,3980
2279,2150
2280,36970
2281,250
2282,3010
2283,940
2284,1480
2285,1580
2286,5820
2287,460
2288,21040
2289,5420
2290,3270
2291,1870
2292,5100
2293,410
2294,4170
2295,21520
2296,12650
2297,290
2298,2630
2299,4370
2300,16070
2301,5780
2302,810
2303,4460
2304,18950
2305,1430
2306,680
2307,1250
2308,1760
2309,550
2310,45220
2311,310
2312,6290
2313,2520
2314,3650
2315,1630
2316,5090
2317,1550
2318,3660
2319,1350
2320,18600
2321,1590
2322,10650
2323,1810
2324,7220
2325,11800
2326,640
2327,2090
2328,9220
2329,1630
2330,3480
2331,13050
2332,7440
2333,300
2334,2700
2335,1800
2336,6670
2337,6100
2338,3850
2339,620
2340,48820
2341,230
2342,690
2343,5770
2344,3010
2345,7480
2346,12090
2347,290
2348,1820
2349,7680
2350,7820
2351,550
2352,30300
2353,1350
2354,3620
2355,4720
2356,7680
2357,350
2358,5420
2359,1600
2360,11630
2361,1020
2362,710
2363,1930
2364,5330
2365,7920
2366,8130
2367,2970
2368,8340
2369,1820
2370,10320
2371,330
2372,1820
2373,5930
2374,1040
2375,7780
2376,36900
2377,310
2378,3970
2379,6210
2380,30520
2381,230
2382,2200
2383,330
2384,4400
2385,11330
2386,720
2387,7840
2388,5190
2389,310
2390,3150
2391,1470
2392,14510
2393,480
2394,26160
2395,1630
2396,1660
2397,6310
2398,3690
2399,630
2400,39450
2401,1875
2402,650
2403,4480
2404,1580
2405,7290
2406,2450
2407,2030
2408,13200
2409,5700
2410,3250
2411,430
2412,12260
2413,1810
2414,4190
2415,23030
2416,4160
2417,370
2418,12000
2419,1940
2420,15520
2421,2510
2422,3430
2423,350
2424,8870
2425,3250
2426,680
2427,1090
2428,1850
2429,1950
2430,19540
2431,9190
2432,10550
2433,1160
2434,840
2435,1700
2436,23950
2437,300
2438,3680
2439,3120
2440,12090
2441,430
2442,12120
2443,1680
2444,8100
2445,5230
2446,880
2447,600
2448,33400
2449,1970
2450,17080
2451,5450
2452,1350
2453,1860
2454,2370
2455,1680
2456,3110
2457,22870
2458,770
2459,470
2460,22040
2461,1760
2462,820
2463,1400
2464,28160
2465,7060
2466,5420
2467,280
2468,1540
2469,1310
2470,16170
2471,1790
2472,9170
2473,330
2474,880
2475,27040
2476,1660
2477,410
2478,11740
2479,1820
2480,18540
2481,1120
2482,4010
2483,2100
2484,21870
2485,7060
2486,3320
2487,1160
2488,2920
2489,1850
2490,10600
2491,1890
2492,7630
2493,3130
2494,3860
2495,1890
2496,25920
2497,1790
2498,820
2499,13190
2500,8760
2501,1530
2502,5680
2503,290
2504,3120
2505,5410
2506,3900
2507,2050
2508,25420
2509,1350
2510,3550
2511,7770
2512,4400
2513,1950
2514,2650
2515,1940
2516,8560
2517,1420
2518,1130
2519,2600
2520,80660
2521,190
2522,3470
2523,2570
2524,1330
2525,3470
2526,2280
2527,3850
2528,5950
2529,2630
2530,15520
2531,310
2532,5050
2533,1840
2534,3610
2535,12060
2536,2790
2537,1970
2538,10480
2539,380
2540,7180
2541,12680
2542,3870
2543,440
2544,14530
2545,1500
2546,4010
2547,3080
2548,17770
2549,490
2550,24940
2551,400
2552,13630
2553,5820
2554,720
2555,7480
2556,11610
2557,260
2558,720
2559,1350
2560,13940
2561,1970
2562,11090
2563,1790
2564,1600
2565,21060
2566,720
2567,1860
2568,9170
2569,1600
2570,2960
2571,1280
2572,1900
2573,2180
2574,28530
2575,4050
2576,20400
2577,1040
2578,770
2579,510
2580,22330
2581,1870
2582,850
2583,13600
2584,14070
2585,7560
2586,2260
2587,1710
2588,1730
2589,1350
2590,15500
2591,560
2592,25510
2593,280
2594,760
2595,5220
2596,8220
2597,4180
2598,2770
2599,2010
2600,28410
2601,6340
2602,820
2603,2000
2604,23820
2605,1390
2606,740
2607,6160
2608,4300
2609,470
2610,24080
